reviewer,rating,date,review
Mika6745,5,1 個月前，評論出處： Google,整體體驗依然是5星飯店的水準，不過房間內地毯開始有老舊的現象 床仍然是好睡，室內停車方便整潔，早餐豐富 之前去住過，然後飯店人員好心的幫我收東西，但是我的個人用品不見了，當時就想說想要自己收，但是飯店就堅持，後來東西不見，打去飯店問飯店說沒有收，沒有看到那個東西，但我確定東西不在我身上，感覺很差，大家要注意，小心飯店跟飯店人員的安全性是否正常、有做到，要注意他們。 親愛的孫于晴您好：很抱歉這次您的體驗不如預期，也感謝您的回饋，已將您的回饋提供給相關部門團隊檢視，若有我們可以做到更好的地方，也請您不吝與我們告知！這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，盼您能夠留下聯繫方式及提供更多細節，我們將竭盡所能協助您，祝您身體健康、平安順心。
KC Lee,5,1 個月前，評論出處： Google,George 餐飲地點2樓中餐廳 JK Huang
Wan Yun Llee,4,1 個月前，評論出處： Google,沒住宿，溫莎咖啡廳的餐點不錯 餐飲地點溫莎咖啡廳的餐點不錯 yen fang 每年過年都會請老闆娘插花，增添家裡過年氛圍！非常喜歡～超級感謝老闆娘
chang susan,5,1 個月前，評論出處： Google,CP值高的飯店，論乾淨程度以及房間舒適性，這裡絕對是台中的首選 停車常常滿位 早餐品質普通
YuHsuan Chen,5,1 個月前，評論出處： Google,xiangchen 商務人士 ❘ 夫妻/情侶 親愛的貴賓您好：若有我們可以做到更好的地方，也請您不吝與我們告知！這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，盼您能夠留下聯繫方式及提供更多細節，我們將竭盡所能協助您，祝您身體健康、平安順心。
Cecilia Yang,5,1 個月前，評論出處： Google,商務人士 ❘ 夫妻/情侶 (由 Google 提供翻譯) 適合辦活動 (原始評論) Fanool
葉佳惠（小葉）,4,1 個月前，評論出處： Google,商務人士 ❘ 朋友
Tony Tseng,5,1 個月前，評論出處： Google,Karin Liu
Robin,4,1 個月前，評論出處： Google,WanHsuan Wu 來台中一定住裕元花園，前後也20年了，依然維持很好，三溫暖超讚
& Love Living Peace,5,1 個月前，評論出處： Google,Lina Chen 其他 2 項
Joy Ju,5,1 個月前，評論出處： Google,mei chen wu Winston Wang
Alvin,5,1 個月前，評論出處： Google,Billy Huang 商務人士 ❘ 朋友 親愛的Billy Huang您好，感謝您撥空給予評價，也謝謝您的肯定與支持，疫情期間請好好保重身體，期待您下次再度光臨，敬祝 平安健康。
蔡照龍,3,1 個月前，評論出處： Google,Tony Huang Leco哈古將 自助餐好吃，可惜！時間短，下次吃午餐或晚餐就不會那麼趕了。
Jamie Ch.,5,1 個月前，評論出處： Google,台北走國道一號，下來好像很快就到了 地點很方便， Satya Jeet
Jimmy Liang,5,1 個月前，評論出處： Google,商務人士 ❘ 夫妻/情侶 房間景觀絕佳，泳池三溫暖完善，早餐豐盛美味。台中出差首選。 中式餐廳 包場的荷葉糯米雞好吃，但是菜單怎麼找不到
YU Davy,1,1 個月前，評論出處： Google,從台積電一張一百多塊到現在快1800，7樓健身房男三溫暖中間那間浴室蓮蓬頭還是壞掉的。 親愛的YU Davy您好：感謝關於您寶貴的建議，已轉達給相關部門知悉，並進行檢視跟修繕。這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，若有其他可以協助部份，我們將竭盡所能協助您，祝您身體健康、平安順心。
Fu Cheng,5,1 個月前，評論出處： Google,去過兩次假日與平日菜色真的有落差，建議假日去吃！雖然貴了些 Abu Lo 請飯店協助宣導，旅客禁止在福安公園內吸菸，一群外國人10幾個成人在福安公園吸菸，二手煙害嚴重，並且沙坑及草皮上都有不少煙蒂，十分不恰當 親愛的Abu Lo您好：感謝關於您寶貴的建議，已轉達給相關部門知悉。這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，若有其他可以協助部份，我們將竭盡所能協助您，祝您身體健康、平安順心。
顏宏宇,5,上次編輯：1 個月前，評論出處： Google,HUNG YING LIN 參加跨年活動 其他 6 項 平常都會來裕元用餐，餐點也確實好吃，只是這次要報怨，這星期來裕元參加會議，只是禮貌問一下地下停車場警衛：參加會議也可以停地下停車場嗎？ 他態度很差的回說：我怎麼知道你要參加三小會議。講話實在沒必要這樣嗆！
Jiang,5,1 個月前，評論出處： Google,地下一樓buffet 好吃酥皮濃湯下午茶才有 Terry Winston 20260122 其他 3 項
GiGi Huang,5,1 個月前，評論出處： Google,
GTP GRUPPE,3,1 個月前，評論出處： Google,"商務人士 ❘ 獨自旅行 裕元花園酒店 Windsor Hotel Taichung $4,139 3月23日至24日"
